a         -    5
actual    -    5
advertising-    5
asdf      -    1
be        -    9
best      -    5
days      -    5
derfsw    -    1
dfg       -    2
dfgh      -    2
dfghjgf   -    1
dsf       -    1
europe    -    5
false     -    6
fdgds     -    1
fgdf      -    1
fine      -    9
for       -   10
forecast  -   14
fsdrf     -    1
fw        -    1
ggggggggggg-    1
ghdfgh    -    2
ghj       -    1
ghjghjooooooooooooooo-    1
goods     -    5
healthcare-    5
law       -    5
left      -    5
london    -    5
madera    -    1
new       -    5
news      -   15
northern  -    5
oooooooooooo-    1
parliament-    5
passed    -    5
qweqweqwqqqqqqqqqqqqqqqqqqqqqqqqq-    1
rthrthrthrt-    1
sdf       -    1
sdfsadfsa -    2
sfsdf     -    2
the       -    9
tomorrow  -   14
true      -    3
until     -    5
weather   -   23
will      -    9
ytyuty    -    1
yurt      -    1
